m/z 198	m/z 192	m/z 184	m/z 178	m/z 170	m/z 156	m/z 142	m/z 205	m/z 259	m/z 253	m/z 231	m/z 218	m/z 217	m/z 191	m/z 177	m/z 219	m/z 206	Retention time (min)
3499.652344	1243.040039	230104.546875	28953.638672	64064.605469	49828.375	115131.625	604.850403	357.279419	471.042633	397.384857	344.697296	440.562134	1612.491943	2522.532227	361.219513	1116.391602	10.070988920804268
2659.37085	1621.650024	543548.9375	43772.558594	140619.359375	89163.140625	200499.875	651.885803	400.382965	343.550507	464.628693	349.448364	462.851135	1560.05835	6213.578613	444.920013	1052.637451	10.094788674599918
1311.635498	1355.386108	267517.21875	32710.257813	76676.289063	81912.203125	306323.53125	676.607727	369.501099	504.725983	393.01062	513.843079	476.399841	2066.758545	5784.196777	456.601044	1163.132202	10.118588428395569
565.375671	1460.474609	53267.011719	35282.71875	27400.388672	34145.589844	73199.804688	606.365784	311.90683	514.613098	401.816467	379.273529	356.558563	1505.732544	4821.379395	517.553833	1223.263794	10.142388182191219
464.759766	1463.06311	94210.078125	9173.732422	26978.568359	57774.203125	54095.71875	856.001038	275.684113	476.350708	430.109802	293.582489	480.552917	1694.8573	4599.595703	487.990784	1362.717529	10.16618793598687
681.629089	1185.331055	95856.875	9651.164063	34302.707031	66845.617188	68956.03125	619.169067	291.542816	549.451416	564.966064	280.721863	406.895172	1922.515747	3850.411377	366.822479	1069.552856	10.18998768978252
1381.377686	1365.650024	21711.207031	19871.738281	29385.214844	15291.077148	30157.996094	532.855469	279.263794	468.748993	260.521698	236.127487	437.449371	1490.029419	2870.211182	442.863953	939.734314	10.21378744357817
1522.7052	1304.82019	28907.595703	26575.751953	28726.710938	11279.621094	61713.722656	631.235107	237.413544	496.141296	395.468079	382.328949	409.565582	1462.522461	3746.035645	414.029938	970.730835	10.23758719737382
1374.431274	1132.184814	24551.761719	12129.413086	11497.841797	22654.166016	58791.792969	712.117737	268.434662	440.029694	429.003967	254.959686	399.670288	1494.920288	2776.164795	309.932678	1099.705566	10.26138695116947
2016.872437	1311.815674	14827.538086	24544.970703	9841.74707	18489.205078	20598.1875	464.030731	341.043915	463.203369	433.18161	290.895691	288.30719	1216.950195	2459.505371	333.114563	1045.330566	10.28518670496512
1245.808838	1595.072876	19395.841797	26370.220703	12355.601563	27168.824219	18703.333984	703.451172	307.770142	415.078461	328.70755	334.73645	388.366058	1315.379028	3424.356445	357.779083	1096.437256	10.30898645876077
1622.723145	1517.085938	24119.882813	31570.496094	11739.334961	52983.4375	27658.419922	521.379211	288.708557	386.129791	387.383087	230.87674	426.710358	1468.960938	4333.650879	459.549988	1095.390747	10.332786212556421
4118.625	1354.223022	24188.509766	38666.617188	6599.86377	51129.070313	54238.652344	559.698975	370.387817	349.292725	267.795715	270.105713	325.947021	1676.013794	4616.088867	380.109039	1142.194824	10.356585966352073
6819.518066	1831.876099	25067.708984	41970.664063	7829.290527	60641.714844	54431.941406	641.60553	369.419159	329.493927	211.143478	272.645081	382.591064	1550.826538	5635.519043	419.583771	1287.507446	10.380385720147723
4689.300293	2329.95874	16785.931641	32023.998047	7211.333008	48192.789063	86259.179688	570.80658	229.091003	338.545502	361.46524	282.081665	326.274658	1674.068848	6547.004395	374.661713	1032.429077	10.404185473943373
3302.559326	3812.501221	10693.285156	25009.705078	6027.51709	24950.945313	124584.929688	598.821472	213.535385	484.108032	437.531281	243.458847	445.001923	1658.102173	7291.57666	386.490204	1084.412109	10.427985227739024
