Response (V)	Retention time (min)
0.000171	0.8808038549176347
0.00017	0.8824847783048821
0.000169	0.8841657016921295
0.00017	0.885846625079377
0.000173	0.8875275484666243
0.00017	0.8892084718538716
0.000168	0.8908893952411191
0.000168	0.8925703186283664
0.000171	0.8942512420156139
0.000168	0.8959321654028612
0.000169	0.8976130887901087
0.000166	0.899294012177356
0.000166	0.9009749355646034
0.000167	0.9026558589518509
0.000168	0.9043367823390982
0.000169	0.9060177057263457
0.000166	0.907698629113593
0.000165	0.9093795525008405
0.00016	0.9110604758880878
0.000165	0.9127413992753353
0.000164	0.9144223226625826
0.000164	0.91610324604983
0.000164	0.9177841694370774
0.000164	0.9194650928243248
0.000165	0.9211460162115722
0.000167	0.9228269395988196
0.000166	0.924507862986067
0.000162	0.9261887863733144
0.000162	0.9278697097605617
0.000166	0.9295506331478092
0.000163	0.9312315565350565
0.000163	0.932912479922304
0.000166	0.9345934033095513
0.000162	0.9362743266967988
0.000163	0.9379552500840461
0.000168	0.9396361734712935
0.000168	0.9413170968585409
0.000162	0.9429980202457883
0.000156	0.9446789436330357
0.000161	0.9463598670202831
0.000168	0.9480407904075305
0.000167	0.9497217137947779
0.00017	0.9514026371820253
0.000166	0.9530835605692727
0.000163	0.95476448395652
0.000162	0.9564454073437675
0.000165	0.9581263307310148
0.000165	0.9598072541182623
0.000158	0.9614881775055096
0.000158	0.9631691008927571
0.000162	0.9648500242800044
0.000164	0.9665309476672518
0.000164	0.9682118710544992
0.000164	0.9698927944417466
0.000165	0.971573717828994
0.000165	0.9732546412162414
0.00017	0.9749355646034888
0.000167	0.9766164879907362
0.000174	0.9782974113779835
0.000172	0.979978334765231
0.000178	0.9816592581524783
0.000178	0.9833401815397258
0.000174	0.9850211049269731
0.000172	0.9867020283142206
0.000182	0.988382951701468
0.000183	0.9900638750887154
0.000182	0.9917447984759628
0.000183	0.9934257218632101
0.000184	0.9951066452504576
0.000189	0.9967875686377049
0.00019	0.9984684920249524
0.000191	1.0001494154121997
0.000194	1.0018303387994472
0.000192	1.0035112621866946
0.000189	1.0051921855739419
0.000188	1.0068731089611893
0.000188	1.0085540323484368
0.00019	1.010234955735684
0.000192	1.0119158791229315
0.000191	1.013596802510179
0.000193	1.0152777258974264
0.000195	1.0169586492846736
0.000194	1.018639572671921
0.000197	1.0203204960591685
0.000203	1.0220014194464158
0.000204	1.0236823428336632
0.000208	1.0253632662209107
0.000215	1.0270441896081581
0.000217	1.0287251129954054
0.000222	1.0304060363826528
0.000219	1.0320869597699003
0.000226	1.0337678831571475
0.000228	1.035448806544395
0.000233	1.0371297299316424
0.000244	1.0388106533188899
0.000246	1.0404915767061371
0.000241	1.0421725000933846
0.00024	1.043853423480632
0.000242	1.0455343468678793
0.000246	1.0472152702551267
0.000248	1.0488961936423742
0.000249	1.0505771170296216
0.000253	1.0522580404168689
0.000254	1.0539389638041163
0.000258	1.0556198871913638
0.000257	1.057300810578611
0.000258	1.0589817339658585
0.000259	1.060662657353106
0.000263	1.0623435807403534
0.000266	1.0640245041276006
0.000264	1.065705427514848
0.000263	1.0673863509020955
0.00026	1.069067274289343
0.000263	1.0707481976765902
0.000266	1.0724291210638377
0.000267	1.0741100444510852
0.000265	1.0757909678383324
0.000264	1.0774718912255798
0.000262	1.0791528146128273
0.000261	1.0808337380000748
0.00026	1.082514661387322
0.000265	1.0841955847745695
0.000267	1.085876508161817
0.000263	1.0875574315490641
0.000261	1.0892383549363116
0.000262	1.090919278323559
0.00026	1.0926002017108065
0.000264	1.0942811250980538
0.00026	1.0959620484853012
0.000262	1.0976429718725487
0.000266	1.099323895259796
0.000263	1.1010048186470434
0.000263	1.1026857420342908
0.00026	1.1043666654215383
0.000264	1.1060475888087855
0.000265	1.107728512196033
0.000261	1.1094094355832804
0.000268	1.1110903589705277
0.000268	1.1127712823577751
0.000269	1.1144522057450226
0.000269	1.11613312913227
0.000259	1.1178140525195173
0.000264	1.1194949759067647
0.000263	1.1211758992940122
0.000263	1.1228568226812594
0.000256	1.1245377460685069
0.000252	1.1262186694557543
0.000256	1.1278995928430018
0.000255	1.129580516230249
0.000251	1.1312614396174965
0.000251	1.132942363004744
0.000252	1.1346232863919912
0.00025	1.1363042097792386
0.000252	1.137985133166486
0.000253	1.1396660565537335
0.000255	1.1413469799409808
0.000256	1.1430279033282282
0.000252	1.1447088267154757
0.00025	1.1463897501027231
0.000253	1.1480706734899704
0.000255	1.1497515968772178
0.000259	1.1514325202644653
0.000257	1.1531134436517125
0.00026	1.15479436703896
0.000261	1.1564752904262074
0.000258	1.158156213813455
0.000259	1.1598371372007021
0.000257	1.1615180605879496
0.00026	1.163198983975197
0.000256	1.1648799073624443
0.000261	1.1665608307496917
0.000259	1.1682417541369392
0.000265	1.1699226775241867
0.000269	1.171603600911434
0.000266	1.1732845242986814
0.000261	1.1749654476859288
0.000263	1.176646371073176
0.000269	1.1783272944604235
0.000269	1.180008217847671
0.000269	1.1816891412349184
0.00027	1.1833700646221657
0.000273	1.185050988009413
0.000271	1.1867319113966606
0.000272	1.1884128347839078
0.00027	1.1900937581711553
0.000275	1.1917746815584027
0.000275	1.1934556049456502
0.000274	1.1951365283328974
0.000275	1.1968174517201449
0.000277	1.1984983751073923
0.000276	1.2001792984946396
0.000276	1.201860221881887
0.000276	1.2035411452691345
0.000275	1.205222068656382
0.00027	1.2069029920436292
0.000274	1.2085839154308766
0.000274	1.210264838818124
0.000274	1.2119457622053715
0.000274	1.2136266855926188
0.000275	1.2153076089798662
0.000278	1.2169885323671137
0.000279	1.218669455754361
